SN,Np,ra,dec,Name,Subtype,u_Subtype,z,n_z,E_B-V_,tgmax,e_tgmax,Delm15g,e_Delm15g,LC,Simbad,NED,recno
ZTF18aaxvpsw,523,224.976663,39.0788005,SN2018cof,normal   , ,0.0916,h,0.0109,58286.49,0.11,0.8,0.04,LC,Simbad,NED,35
ZTF18aaxwjmp,1340,252.9056982,61.5453683,SN2018coe,normal   , ,0.084,f,0.0304,58287.69,0.04,0.76,0.02,LC,Simbad,NED,36
ZTF18aaydmkh,483,260.1610906,52.0419426,SN2018coh,normal   ,*,0.077,f,0.0249,58287.68,0.12,0.75,0.03,LC,Simbad,NED,37
ZTF18aayjvve,433,226.069173,35.8150335,SN2018cny,normal   , ,0.0474,h,0.0126,58291.67,0.02,0.81,0.02,LC,Simbad,NED,38
ZTF18aaykjei,717,244.9123513,49.1851778,SN2018crl,Ia-CSM   , ,0.097,h,0.0137,58291.72,0.35,0.44,0.03,LC,Simbad,NED,39
ZTF18aaytovs,677,266.4724817,31.7105165,SN2018crk,99aa-like, ,0.0746,h,0.0523,58293.58,0.03,0.59,0.03,LC,Simbad,NED,40
ZTF18aazabmh,712,254.9051284,59.0732872,SN2018crr,normal   , ,0.073,f,0.0128,58289.88,0.06,0.82,0.02,LC,Simbad,NED,41
ZTF18aazblzy,1323,242.8394794,36.9943003,SN2018cri,normal   , ,0.0653,h,0.0116,58291.47,0.02,1.02,0.02,LC,Simbad,NED,42
ZTF18aazcoob,541,269.511136,69.0727657,SN2018crj,normal   ,*,0.0845,h,0.0311,58294.4,0.05,0.72,0.03,LC,Simbad,NED,43
ZTF18aazixbw,665,244.7415874,56.7168873,SN2018coi,normal   , ,0.0594,h,0.0091,58291.46,0.03,0.99,0.02,LC,Simbad,NED,44
ZTF18aazjztm,781,260.1016409,55.214633,SN2018crs,normal   , ,0.0721,h,0.036,58290.74,0.08,0.99,0.04,LC,Simbad,NED,45
ZTF18aazsabq,781,283.840993,56.588405,SN2018crn,normal   , ,0.06,f,0.0506,58293.57,0.03,0.95,0.02,LC,Simbad,NED,46
ZTF18abatffv,365,208.6391294,40.1699596,SN2018lpf,normal   , ,0.143,f,0.0094,58294.0,0.38,0.7,0.09,LC,Simbad,NED,47
ZTF18abauprj,803,254.7709972,47.236439,SN2018cnw,99aa-like, ,0.0242,h,0.023,58301.59,0.02,0.67,0.01,LC,Simbad,NED,48
ZTF18abaxlpi,790,276.5590427,45.0101999,SN2018ctm,normal   , ,0.0642,h,0.0438,58297.84,0.03,0.78,0.02,LC,Simbad,NED,49
ZTF18abbpeqo,1366,238.2268969,50.6194001,SN2018cvq,normal   ,*,0.0667,h,0.0173,58300.14,0.05,0.81,0.02,LC,Simbad,NED,50
