ID zcmb vpec
ZTF18abkhdxe 0.104648 0
ZTF18abkifng 0.087997 0
ZTF18abkigee 0.095245 0
ZTF18abklaoj 0.028666 132.14
ZTF18abklljv 0.141459 0
ZTF18abktphg 0.068727 0
ZTF18abkudjo 0.092628 0
ZTF18abkxlcz 0.099479 0
ZTF18ablhvfr 0.085105 0
ZTF18ablmflp 0.043028 -299.95
ZTF18ablongw 0.081618 0
ZTF18ablqhqx 0.111238 0
ZTF18ablqjul 0.100445 0
ZTF18ablqkba 0.150154 0
ZTF18ablqkud 0.068186 0
ZTF18ablqlzp 0.041851 -457.96
ZTF18ablqqqp 0.100037 0
ZTF18ablrljh 0.094092 0
ZTF18ablsztl 0.130242 0
ZTF18abltaxf 0.062076 0
ZTF18abltdfj 0.030474 167.62
ZTF18abltdkd 0.027302 258.00
ZTF18ablvime 0.138771 0
ZTF18ablwgop 0.083913 0
ZTF18ablwrmh 0.089602 0
ZTF18ablwtkf 0.031991 -215.50
ZTF18abmaewl 0.133750 0
ZTF18abmjcbs 0.049106 -146.77
ZTF18abmjvpb 0.066328 0
ZTF18abmjvuf 0.078846 0
ZTF18abmjyvo 0.055908 0
ZTF18abmkaps 0.074041 0
